mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_DHANORKAR_PRATIBHA_SURESH_ALIAS_BALUBHAU,Lok Sabha,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Maharashtra,CHANDRAPUR,
LS_DHARMENDRA_PRADHAN,Lok Sabha,DHARMENDRA PRADHAN,DHARMENDRA PRADHAN,Odisha,SAMBALPUR,
LS_DHARMENDRA_YADAV,Lok Sabha,DHARMENDRA YADAV,DHARMENDRA YADAV,Uttar Pradesh,AZAMGARH,
LS_DHAVAL_LAXMANBHAI_PATEL,Lok Sabha,DHAVAL LAXMANBHAI PATEL,DHAVAL LAXMANBHAI PATEL,Gujarat,VALSAD(ST),
LS_DILESHWAR_KAMAIT,Lok Sabha,Dileshwar Kamait,DILESHWAR KAMAIT,Bihar,SUPAUL,
LS_DILIP_SAIKIA,Lok Sabha,Dilip Saikia,DILIP SAIKIA,Assam,Darrang-Udalguri,
LS_DINESH_CHANDRA_YADAV,Lok Sabha,Dinesh Chandra Yadav,DINESH CHANDRA YADAV,Bihar,MADHEPURA,
LS_DINESHBHAI_MAKWANA,Lok Sabha,DINESHBHAI MAKWANA,DINESHBHAI MAKWANA,Gujarat,AHMEDABAD WEST(SC),
LS_BYREDDY_SHABARI,Lok Sabha,DR BYREDDY SHABARI,BYREDDY SHABARI,Andhra Pradesh,NANDYAL,
LS_C_N_MANJUNATH,Lok Sabha,DR C N MANJUNATH,C N MANJUNATH,Karnataka,BANGALORE RURAL,
LS_CHANDRA_SEKHAR_PEMMASANI,Lok Sabha,Dr Chandra Sekhar Pemmasani,CHANDRA SEKHAR PEMMASANI,Andhra Pradesh,GUNTUR,
LS_DHARAMVIRA_GANDHI,Lok Sabha,DR DHARAMVIRA GANDHI,DHARAMVIRA GANDHI,Punjab,PATIALA,
LS_JAYANTA_KUMAR_ROY,Lok Sabha,Dr Jayanta Kumar Roy,JAYANTA KUMAR ROY,West Bengal,JALPAIGURI(SC),
LS_KALGE_SHIVAJI_BANDAPPA,Lok Sabha,DR KALGE SHIVAJI BANDAPPA,KALGE SHIVAJI BANDAPPA,Maharashtra,LATUR(SC),
LS_MOHAMMAD_JAWED,Lok Sabha,Dr Mohammad Jawed,MOHAMMAD JAWED,Bihar,KISHANGANJ,
LS_RAJKUMAR_SANGWAN,Lok Sabha,DR RAJKUMAR SANGWAN,RAJKUMAR SANGWAN,Uttar Pradesh,BAGHPAT,
LS_RANI_SRI_KUMAR,Lok Sabha,DR RANI SRI KUMAR,RANI SRI KUMAR,Tamil Nadu,TENKASI(SC),
LS_SHASHI_THAROOR,Lok Sabha,Dr Shashi Tharoor,SHASHI THAROOR,Kerala,THIRUVANANTHAPURAM,
LS_SUKANTA_MAJUMDAR,Lok Sabha,Dr Sukanta Majumdar,SUKANTA MAJUMDAR,West Bengal,BALURGHAT,
LS_HEMANG_JOSHI,Lok Sabha,DR. HEMANG JOSHI,HEMANG JOSHI,Gujarat,VADODARA,
LS_HEMANT_VISHNU_SAVARA,Lok Sabha,DR. HEMANT VISHNU SAVARA,HEMANT VISHNU SAVARA,Maharashtra,PALGHAR(ST),
LS_KIRSAN_NAMDEO,Lok Sabha,DR. KIRSAN NAMDEO,KIRSAN NAMDEO,Maharashtra,GADCHIROLI-CHIMUR(ST),
LS_LATA_WANKHEDE,Lok Sabha,DR. LATA WANKHEDE,LATA WANKHEDE,Madhya Pradesh,SAGAR,
LS_M_P_ABDUSSAMAD_SAMADANI,Lok Sabha,DR. M.P ABDUSSAMAD SAMADANI,M.P ABDUSSAMAD SAMADANI,Kerala,PONNANI,
